timestamp,yy,xx,value,type
1588993200,-60,30,-17,soilhumidity
1588993200,-60,60,-12,soilhumidity
1588993200,-60,90,-13,soilhumidity
1588993200,-40,0,-14,soilhumidity
1588993200,-40,30,-13,soilhumidity
1588993200,-40,60,-16,soilhumidity
1588993200,-40,90,-17,soilhumidity
1588993200,-20,0,-14,soilhumidity
1588993200,-20,30,-13,soilhumidity
1588993200,-20,60,-18,soilhumidity
1588993200,-20,90,-30,soilhumidity
1588996800,-60,0,-24,soilhumidity
1588996800,-60,30,-17,soilhumidity
1588996800,-60,60,-12,soilhumidity
1588996800,-60,90,-13,soilhumidity
1588996800,-40,0,-14,soilhumidity
1588996800,-40,30,-13,soilhumidity
1588996800,-40,60,-21,soilhumidity
1588996800,-40,90,-17,soilhumidity
1588996800,-20,0,-14,soilhumidity
1588996800,-20,30,-13,soilhumidity
1588996800,-20,60,-19,soilhumidity
1588996800,-20,90,-31,soilhumidity
1589000400,-60,0,-27,soilhumidity
1589000400,-60,30,-17,soilhumidity
1589000400,-60,60,-12,soilhumidity
1589000400,-60,90,-13,soilhumidity
1589000400,-40,0,-14,soilhumidity
1589000400,-40,30,-13,soilhumidity
1589000400,-40,60,-18,soilhumidity
1589000400,-40,90,-17,soilhumidity
1589000400,-20,0,-14,soilhumidity
1589000400,-20,30,-13,soilhumidity
1589000400,-20,60,-19,soilhumidity
1589000400,-20,90,-31,soilhumidity
1589004000,-60,0,-17,soilhumidity
1589004000,-60,30,-17,soilhumidity
1589004000,-60,60,-13,soilhumidity
1589004000,-60,90,-13,soilhumidity
1589004000,-40,0,-13,soilhumidity
1589004000,-40,30,-13,soilhumidity
1589004000,-40,60,-25,soilhumidity
1589004000,-40,90,-17,soilhumidity
1589004000,-20,0,-14,soilhumidity
1589004000,-20,30,-13,soilhumidity
1589004000,-20,60,-19,soilhumidity
1589004000,-20,90,-32,soilhumidity
1589007600,-60,0,-17,soilhumidity
1589007600,-60,30,-17,soilhumidity
1589007600,-60,60,-13,soilhumidity
1589007600,-60,90,-17,soilhumidity
1589007600,-40,0,-12,soilhumidity
1589007600,-40,30,-13,soilhumidity
1589007600,-40,60,-31,soilhumidity
1589007600,-40,90,-17,soilhumidity
1589007600,-20,0,-13,soilhumidity
1589007600,-20,30,-21,soilhumidity
1589007600,-20,60,-19,soilhumidity
1589007600,-20,90,-33,soilhumidity
1589011200,-60,0,-18,soilhumidity
1589011200,-60,30,-17,soilhumidity
1589011200,-60,60,-13,soilhumidity
1589011200,-60,90,-21,soilhumidity
1589011200,-40,0,-12,soilhumidity
1589011200,-40,30,-21,soilhumidity
1589011200,-40,60,-22,soilhumidity
1589011200,-40,90,-17,soilhumidity
1589011200,-20,0,-12,soilhumidity
1589011200,-20,30,-22,soilhumidity
1589011200,-20,60,-18,soilhumidity
1589011200,-20,90,-34,soilhumidity
1589014800,-60,0,-17,soilhumidity
1589014800,-60,30,-17,soilhumidity
1589014800,-60,60,-13,soilhumidity
1589014800,-60,90,-21,soilhumidity
1589014800,-40,0,-12,soilhumidity
1589014800,-40,30,-20,soilhumidity
1589014800,-40,60,-17,soilhumidity
1589014800,-40,90,-17,soilhumidity
1589014800,-20,0,-12,soilhumidity
1589014800,-20,30,-32,soilhumidity
1589014800,-20,60,-19,soilhumidity
1589014800,-20,90,-34,soilhumidity
1589018400,-60,0,-17,soilhumidity
1589018400,-60,30,-17,soilhumidity
1589018400,-60,60,-13,soilhumidity
1589018400,-60,90,-21,soilhumidity
1589018400,-40,0,-12,soilhumidity
1589018400,-40,30,-21,soilhumidity
1589018400,-40,60,-17,soilhumidity
1589018400,-40,90,-17,soilhumidity
1589018400,-20,0,-12,soilhumidity
1589018400,-20,30,-27,soilhumidity
1589018400,-20,60,-19,soilhumidity
1589018400,-20,90,-34,soilhumidity
1589022000,-60,0,-17,soilhumidity
1589022000,-60,30,-17,soilhumidity
1589022000,-60,60,-13,soilhumidity
1589022000,-60,90,-21,soilhumidity
1589022000,-40,0,-12,soilhumidity
1589022000,-40,30,-21,soilhumidity
1589022000,-40,60,-17,soilhumidity
1589022000,-40,90,-17,soilhumidity
1589022000,-20,0,-12,soilhumidity
1589022000,-20,30,-32,soilhumidity
1589022000,-20,60,-19,soilhumidity
1589022000,-20,90,-34,soilhumidity
1589025600,-60,0,-17,soilhumidity
1589025600,-60,30,-17,soilhumidity
1589025600,-60,60,-13,soilhumidity
1589025600,-60,90,-21,soilhumidity
1589025600,-40,0,-12,soilhumidity
1589025600,-40,30,-22,soilhumidity
1589025600,-40,60,-17,soilhumidity
1589025600,-40,90,-17,soilhumidity
1589025600,-20,0,-12,soilhumidity
1589025600,-20,30,-22,soilhumidity
1589025600,-20,60,-19,soilhumidity
1589025600,-20,90,-34,soilhumidity
1589029200,-60,0,-17,soilhumidity
1589029200,-60,30,-17,soilhumidity
1589029200,-60,60,-13,soilhumidity
1589029200,-60,90,-21,soilhumidity
1589029200,-40,0,-12,soilhumidity
1589029200,-40,30,-22,soilhumidity
1589029200,-40,60,-17,soilhumidity
1589029200,-40,90,-17,soilhumidity
1589029200,-20,0,-12,soilhumidity
1589029200,-20,30,-21,soilhumidity
1589029200,-20,60,-19,soilhumidity
1589029200,-20,90,-34,soilhumidity
1589032800,-60,0,-17,soilhumidity
1589032800,-60,30,-18,soilhumidity
1589032800,-60,60,-13,soilhumidity
1589032800,-60,90,-21,soilhumidity
1589032800,-40,0,-12,soilhumidity
1589032800,-40,30,-22,soilhumidity
1589032800,-40,60,-17,soilhumidity
1589032800,-40,90,-17,soilhumidity
1589032800,-20,0,-12,soilhumidity
1589032800,-20,30,-21,soilhumidity
1589032800,-20,60,-18,soilhumidity
1589032800,-20,90,-34,soilhumidity
1589036400,-60,0,-17,soilhumidity
1589036400,-60,30,-18,soilhumidity
1589036400,-60,60,-13,soilhumidity
1589036400,-60,90,-21,soilhumidity
1589036400,-40,0,-12,soilhumidity
1589036400,-40,30,-18,soilhumidity
1589036400,-40,60,-17,soilhumidity
1589036400,-40,90,-17,soilhumidity
1589036400,-20,0,-12,soilhumidity
1589036400,-20,30,-21,soilhumidity
1589036400,-20,60,-18,soilhumidity
1589036400,-20,90,-34,soilhumidity
1589040000,-60,0,-17,soilhumidity
1589040000,-60,30,-18,soilhumidity
1589040000,-60,60,-13,soilhumidity
1589040000,-60,90,-21,soilhumidity
1589040000,-40,0,-12,soilhumidity
1589040000,-40,30,-21,soilhumidity
1589040000,-40,60,-17,soilhumidity
1589040000,-40,90,-17,soilhumidity
1589040000,-20,0,-12,soilhumidity
1589040000,-20,30,-17,soilhumidity
1589040000,-20,60,-18,soilhumidity
1589040000,-20,90,-33,soilhumidity
1589043600,-60,0,-17,soilhumidity
1589043600,-60,30,-18,soilhumidity
1589043600,-60,60,-13,soilhumidity
1589043600,-60,90,-21,soilhumidity
1589043600,-40,0,-12,soilhumidity
1589043600,-40,30,-13,soilhumidity
1589043600,-40,60,-17,soilhumidity
1589043600,-40,90,-17,soilhumidity
1589043600,-20,0,-12,soilhumidity
1589043600,-20,30,-13,soilhumidity
1589043600,-20,60,-18,soilhumidity
1589043600,-20,90,-32,soilhumidity
1589047200,-60,0,-17,soilhumidity
1589047200,-60,30,-18,soilhumidity
1589047200,-60,60,-13,soilhumidity
1589047200,-60,90,-18,soilhumidity
1589047200,-40,0,-12,soilhumidity
1589047200,-40,30,-15,soilhumidity
1589047200,-40,60,-27,soilhumidity
1589047200,-40,90,-17,soilhumidity
1589047200,-20,0,-12,soilhumidity
