timestamp,value,type
1592010000,94.65,airhumidity
1592013600,95.6,airhumidity
1592017200,93.525,airhumidity
1592020800,93.75,airhumidity
1592024400,92.9,airhumidity
1592028000,88.35,airhumidity
1592031600,84.525,airhumidity
1592035200,79.65,airhumidity
1592038800,72.7,airhumidity
1592042400,67.025,airhumidity
1592046000,62.375,airhumidity
1592049600,58.95,airhumidity
1592053200,53.45,airhumidity
1592056800,52.8,airhumidity
1592060400,53.425,airhumidity
1592064000,55.575,airhumidity
1592067600,56.25,airhumidity
1592071200,61.45,airhumidity
1592074800,68.475,airhumidity
1592078400,68.675,airhumidity
1592082000,72.1,airhumidity
1592085600,76.9,airhumidity
1592089200,87.3333333333333,airhumidity
1592092800,93.55,airhumidity
1592096400,95.75,airhumidity
1592100000,95.9,airhumidity
1592103600,87.25,airhumidity
1592107200,90.55,airhumidity
1592110800,94.95,airhumidity
1592114400,92.65,airhumidity
1592118000,82.775,airhumidity
1592121600,77.65,airhumidity
1592125200,79.65,airhumidity
1592128800,75.625,airhumidity
1592132400,72.425,airhumidity
1592136000,64.425,airhumidity
1592139600,63.925,airhumidity
1592143200,63.55,airhumidity
1592146800,63.125,airhumidity
1592150400,59.25,airhumidity
1592154000,59.575,airhumidity
